Day;Description
Today;Partly sunny, then gradually becoming sunny, with a high near 68. Breezy, with a west wind 16 to 23 mph, with gusts as high as 31 mph. 
Saturday;Mostly sunny, with a high near 68. West southwest wind 9 to 18 mph, with gusts as high as 23 mph. 
Sunday;Sunny, with a high near 71. Light west southwest wind becoming west 13 to 18 mph in the afternoon. Winds could gust as high as 24 mph. 
Monday;Sunny, with a high near 72. 
Tuesday;Sunny, with a high near 72.
Wednesday;Mostly sunny, with a high near 70.
Thursday;Mostly sunny, with a high near 70.
